title,body,artist_id_old,price_freeform,set_times,starts_at
Moona Luna,"<p><!--[if gte mso 9]><xml> <o:OfficeDocumentSettings> <o:AllowPNG /> </o:OfficeDocumentSettings> </xml><![endif]--><!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:TrackMoves /> <w:TrackFormatting /> <w:PunctuationKerning /> <w:ValidateAgainstSchemas /> <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid> <w:IgnoreMixedContent>false</w:IgnoreMixedContent> <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText> <w:DoNotPromoteQF /> <w:LidThemeOther>EN-US</w:LidThemeOther> <w:LidThemeAsian>X-NONE</w:LidThemeAsian> <w:LidThemeComplexScript>X-NONE</w:LidThemeComplexScript> <w:Compatibility> <w:BreakWrappedTables /> <w:SnapToGridInCell /> <w:WrapTextWithPunct /> <w:UseAsianBreakRules /> <w:DontGrowAutofit /> <w:SplitPgBreakAndParaMark /> <w:EnableOpenTypeKerning /> <w:DontFlipMirrorIndents /> <w:OverrideTableStyleHps /> </w:Compatibility> <w:DoNotOptimizeForBrowser /> <m:mathPr> <m:mathFont m:val=""Cambria Math"" /> <m:brkBin m:val=""before"" /> <m:brkBinSub m:val=""&#45;-"" /> <m:smallFrac m:val=""off"" /> <m:dispDef /> <m:lMargin m:val=""0"" /> <m:rMargin m:val=""0"" /> <m:defJc m:val=""centerGroup"" /> <m:wrapIndent m:val=""1440"" /> <m:intLim m:val=""subSup"" /> <m:naryLim m:val=""undOvr"" /> </m:mathPr></w:WordDocument> </xml><![endif]--><!--[if gte mso 9]><xml> <w:LatentStyles DefLockedState=""false"" DefUnhideWhenUsed=""true""   DefSemiHidden=""true"" DefQFormat=""false"" DefPriority=""99""   LatentStyleCount=""267""> <w:LsdException Locked=""false"" Priority=""0"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Normal"" /> <w:LsdException Locked=""false"" Priority=""9"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""heading 1"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 2"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 3"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 4"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 5"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 6"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 7"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 8"" /> <w:LsdException Locked=""false"" Priority=""9"" QFormat=""true"" Name=""heading 9"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 1"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 2"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 3"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 4"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 5"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 6"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 7"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 8"" /> <w:LsdException Locked=""false"" Priority=""39"" Name=""toc 9"" /> <w:LsdException Locked=""false"" Priority=""35"" QFormat=""true"" Name=""caption"" /> <w:LsdException Locked=""false"" Priority=""10"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Title"" /> <w:LsdException Locked=""false"" Priority=""1"" Name=""Default Paragraph Font"" /> <w:LsdException Locked=""false"" Priority=""11"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Subtitle"" /> <w:LsdException Locked=""false"" Priority=""22"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Strong"" /> <w:LsdException Locked=""false"" Priority=""20"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Emphasis"" /> <w:LsdException Locked=""false"" Priority=""59"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Table Grid"" /> <w:LsdException Locked=""false"" UnhideWhenUsed=""false"" Name=""Placeholder Text"" /> <w:LsdException Locked=""false"" Priority=""1"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""No Spacing"" /> <w:LsdException Locked=""false"" Priority=""60"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Shading"" /> <w:LsdException Locked=""false"" Priority=""61"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light List"" /> <w:LsdException Locked=""false"" Priority=""62"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Grid"" /> <w:LsdException Locked=""false"" Priority=""63"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 1"" /> <w:LsdException Locked=""false"" Priority=""64"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 2"" /> <w:LsdException Locked=""false"" Priority=""65"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 1"" /> <w:LsdException Locked=""false"" Priority=""66"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 2"" /> <w:LsdException Locked=""false"" Priority=""67"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 1"" /> <w:LsdException Locked=""false"" Priority=""68"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 2"" /> <w:LsdException Locked=""false"" Priority=""69"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 3"" /> <w:LsdException Locked=""false"" Priority=""70"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Dark List"" /> <w:LsdException Locked=""false"" Priority=""71"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Shading"" /> <w:LsdException Locked=""false"" Priority=""72"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful List"" /> <w:LsdException Locked=""false"" Priority=""73"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Grid"" /> <w:LsdException Locked=""false"" Priority=""60"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Shading Accent 1"" /> <w:LsdException Locked=""false"" Priority=""61"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light List Accent 1"" /> <w:LsdException Locked=""false"" Priority=""62"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Grid Accent 1"" /> <w:LsdException Locked=""false"" Priority=""63"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 1 Accent 1"" /> <w:LsdException Locked=""false"" Priority=""64"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 2 Accent 1"" /> <w:LsdException Locked=""false"" Priority=""65"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 1 Accent 1"" /> <w:LsdException Locked=""false"" UnhideWhenUsed=""false"" Name=""Revision"" /> <w:LsdException Locked=""false"" Priority=""34"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""List Paragraph"" /> <w:LsdException Locked=""false"" Priority=""29"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Quote"" /> <w:LsdException Locked=""false"" Priority=""30"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Intense Quote"" /> <w:LsdException Locked=""false"" Priority=""66"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 2 Accent 1"" /> <w:LsdException Locked=""false"" Priority=""67"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 1 Accent 1"" /> <w:LsdException Locked=""false"" Priority=""68"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 2 Accent 1"" /> <w:LsdException Locked=""false"" Priority=""69"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 3 Accent 1"" /> <w:LsdException Locked=""false"" Priority=""70"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Dark List Accent 1"" /> <w:LsdException Locked=""false"" Priority=""71"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Shading Accent 1"" /> <w:LsdException Locked=""false"" Priority=""72"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful List Accent 1"" /> <w:LsdException Locked=""false"" Priority=""73"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Grid Accent 1"" /> <w:LsdException Locked=""false"" Priority=""60"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Shading Accent 2"" /> <w:LsdException Locked=""false"" Priority=""61"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light List Accent 2"" /> <w:LsdException Locked=""false"" Priority=""62"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Grid Accent 2"" /> <w:LsdException Locked=""false"" Priority=""63"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 1 Accent 2"" /> <w:LsdException Locked=""false"" Priority=""64"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 2 Accent 2"" /> <w:LsdException Locked=""false"" Priority=""65"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 1 Accent 2"" /> <w:LsdException Locked=""false"" Priority=""66"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 2 Accent 2"" /> <w:LsdException Locked=""false"" Priority=""67"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 1 Accent 2"" /> <w:LsdException Locked=""false"" Priority=""68"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 2 Accent 2"" /> <w:LsdException Locked=""false"" Priority=""69"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 3 Accent 2"" /> <w:LsdException Locked=""false"" Priority=""70"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Dark List Accent 2"" /> <w:LsdException Locked=""false"" Priority=""71"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Shading Accent 2"" /> <w:LsdException Locked=""false"" Priority=""72"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful List Accent 2"" /> <w:LsdException Locked=""false"" Priority=""73"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Grid Accent 2"" /> <w:LsdException Locked=""false"" Priority=""60"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Shading Accent 3"" /> <w:LsdException Locked=""false"" Priority=""61"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light List Accent 3"" /> <w:LsdException Locked=""false"" Priority=""62"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Grid Accent 3"" /> <w:LsdException Locked=""false"" Priority=""63"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 1 Accent 3"" /> <w:LsdException Locked=""false"" Priority=""64"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 2 Accent 3"" /> <w:LsdException Locked=""false"" Priority=""65"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 1 Accent 3"" /> <w:LsdException Locked=""false"" Priority=""66"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 2 Accent 3"" /> <w:LsdException Locked=""false"" Priority=""67"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 1 Accent 3"" /> <w:LsdException Locked=""false"" Priority=""68"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 2 Accent 3"" /> <w:LsdException Locked=""false"" Priority=""69"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 3 Accent 3"" /> <w:LsdException Locked=""false"" Priority=""70"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Dark List Accent 3"" /> <w:LsdException Locked=""false"" Priority=""71"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Shading Accent 3"" /> <w:LsdException Locked=""false"" Priority=""72"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful List Accent 3"" /> <w:LsdException Locked=""false"" Priority=""73"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Grid Accent 3"" /> <w:LsdException Locked=""false"" Priority=""60"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Shading Accent 4"" /> <w:LsdException Locked=""false"" Priority=""61"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light List Accent 4"" /> <w:LsdException Locked=""false"" Priority=""62"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Grid Accent 4"" /> <w:LsdException Locked=""false"" Priority=""63"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 1 Accent 4"" /> <w:LsdException Locked=""false"" Priority=""64"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 2 Accent 4"" /> <w:LsdException Locked=""false"" Priority=""65"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 1 Accent 4"" /> <w:LsdException Locked=""false"" Priority=""66"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 2 Accent 4"" /> <w:LsdException Locked=""false"" Priority=""67"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 1 Accent 4"" /> <w:LsdException Locked=""false"" Priority=""68"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 2 Accent 4"" /> <w:LsdException Locked=""false"" Priority=""69"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 3 Accent 4"" /> <w:LsdException Locked=""false"" Priority=""70"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Dark List Accent 4"" /> <w:LsdException Locked=""false"" Priority=""71"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Shading Accent 4"" /> <w:LsdException Locked=""false"" Priority=""72"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful List Accent 4"" /> <w:LsdException Locked=""false"" Priority=""73"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Grid Accent 4"" /> <w:LsdException Locked=""false"" Priority=""60"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Shading Accent 5"" /> <w:LsdException Locked=""false"" Priority=""61"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light List Accent 5"" /> <w:LsdException Locked=""false"" Priority=""62"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Grid Accent 5"" /> <w:LsdException Locked=""false"" Priority=""63"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 1 Accent 5"" /> <w:LsdException Locked=""false"" Priority=""64"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 2 Accent 5"" /> <w:LsdException Locked=""false"" Priority=""65"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 1 Accent 5"" /> <w:LsdException Locked=""false"" Priority=""66"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 2 Accent 5"" /> <w:LsdException Locked=""false"" Priority=""67"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 1 Accent 5"" /> <w:LsdException Locked=""false"" Priority=""68"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 2 Accent 5"" /> <w:LsdException Locked=""false"" Priority=""69"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 3 Accent 5"" /> <w:LsdException Locked=""false"" Priority=""70"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Dark List Accent 5"" /> <w:LsdException Locked=""false"" Priority=""71"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Shading Accent 5"" /> <w:LsdException Locked=""false"" Priority=""72"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful List Accent 5"" /> <w:LsdException Locked=""false"" Priority=""73"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Grid Accent 5"" /> <w:LsdException Locked=""false"" Priority=""60"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Shading Accent 6"" /> <w:LsdException Locked=""false"" Priority=""61"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light List Accent 6"" /> <w:LsdException Locked=""false"" Priority=""62"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Light Grid Accent 6"" /> <w:LsdException Locked=""false"" Priority=""63"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 1 Accent 6"" /> <w:LsdException Locked=""false"" Priority=""64"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Shading 2 Accent 6"" /> <w:LsdException Locked=""false"" Priority=""65"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 1 Accent 6"" /> <w:LsdException Locked=""false"" Priority=""66"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium List 2 Accent 6"" /> <w:LsdException Locked=""false"" Priority=""67"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 1 Accent 6"" /> <w:LsdException Locked=""false"" Priority=""68"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 2 Accent 6"" /> <w:LsdException Locked=""false"" Priority=""69"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Medium Grid 3 Accent 6"" /> <w:LsdException Locked=""false"" Priority=""70"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Dark List Accent 6"" /> <w:LsdException Locked=""false"" Priority=""71"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Shading Accent 6"" /> <w:LsdException Locked=""false"" Priority=""72"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful List Accent 6"" /> <w:LsdException Locked=""false"" Priority=""73"" SemiHidden=""false""    UnhideWhenUsed=""false"" Name=""Colorful Grid Accent 6"" /> <w:LsdException Locked=""false"" Priority=""19"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Subtle Emphasis"" /> <w:LsdException Locked=""false"" Priority=""21"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Intense Emphasis"" /> <w:LsdException Locked=""false"" Priority=""31"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Subtle Reference"" /> <w:LsdException Locked=""false"" Priority=""32"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Intense Reference"" /> <w:LsdException Locked=""false"" Priority=""33"" SemiHidden=""false""    UnhideWhenUsed=""false"" QFormat=""true"" Name=""Book Title"" /> <w:LsdException Locked=""false"" Priority=""37"" Name=""Bibliography"" /> <w:LsdException Locked=""false"" Priority=""39"" QFormat=""true"" Name=""TOC Heading"" /> </w:LatentStyles> </xml><![endif]--><!--[if gte mso 10]> <mce:style><!   /* Style Definitions */  table.MsoNormalTable 	{mso-style-name:""Table Normal""; 	mso-tstyle-rowband-size:0; 	mso-tstyle-colband-size:0; 	mso-style-noshow:yes; 	mso-style-priority:99; 	mso-style-parent:""""; 	mso-padding-alt:0in 5.4pt 0in 5.4pt; 	mso-para-margin:0in; 	mso-para-margin-bottom:.0001pt; 	mso-pagination:widow-orphan; 	font-size:11.0pt; 	font-family:""Calibri"",""sans-serif""; 	mso-ascii-font-family:Calibri; 	mso-ascii-theme-font:minor-latin; 	mso-hansi-font-family:Calibri; 	mso-hansi-theme-font:minor-latin; 	mso-bidi-font-family:""Times New Roman""; 	mso-bidi-theme-font:minor-bidi;} --> <!--[endif] --><span style=""font-size: 11pt; font-family: &quot;Calibri&quot;,&quot;sans-serif&quot;;""></span></p>",14302,$8 for everyone 1 year and older ,,7/21/12 14:30
Billy Jonas,,16521,$10 for everyone one and older ,"12:00 - Doors
12:30 - Billy Jonas",6/30/12 16:30
Billy Jonas,,16378,$10 for everyone one and older,"10:00 - Doors
10:30 - Billy Jonas",6/30/12 14:30
Marsha Goodman-Wood CD Release,,15820,$10 for everyone one year & older,"9:45 - Doors
10:30 - Marsha Goodman-Wood",6/16/12 14:30
"the grandsons, Jr",,16500,$8 for everyone one and older,"10:00 - Doors
10:30 - the grandsons, Jr",6/9/12 14:30
The Smithsonian + Jammin Java present Shine & the Moonbeams,,15354,$10 for everyone one and older,"10:00 - Doors
10:30 - Shine & the Moonbeams
",5/26/12 14:30
Milkshake Trio,,15349,$12 ,"10:30 - Doors
11:00 - Milkshake Trio",5/19/12 15:00
Tim and the Space Cadets,,15346,$10 for everyone one year and older,"10:00 - Doors
10:30 - Tim and the Space Cadets",4/28/12 14:30
Banjo Man & Friends Family Show,,15226,$10 for everyone one year & older,"9:45  - Doors
10:30  - Banjo Man & Friends Family Show ",4/7/12 14:30
Ralph's World,,11586,$15 for everyone 1 and older ,,3/24/12 18:30
Ralph's World,,11585,$15 for everyone 1 and older ,,3/24/12 14:30
Justin Roberts and The Not Ready for Naptime Players,,13774,$15 for everyone 1 year and older ,,3/10/12 18:30
Justin Roberts and The Not Ready for Naptime Players,,13766,$15 for everyone 1 year and older ,,3/10/12 16:30
Justin Roberts and The Not Ready for Naptime Players,,13507,$15 for everyone 1 year and older,,3/10/12 14:30
The Okee Dokee Brothers,,11510,$8 for everyone one and older,,3/3/12 14:30
Billy Jonas,,12150,$12 ,,11/19/11 14:30
Hope Harris & The Cousins Jamboree,,11501,$10 for everyone over one year old,,11/5/11 14:30
Robbie Schaefer - Songs For Kids Like Us,,11499,$10 for everyone one and older ,,10/15/11 14:30
Ryan Buckle & Friends,,10436,$8 for everyone one and older ,,8/27/11 14:30
Fox and Branch,,0,$10 ,,8/20/11 14:30
Ryan Buckle & Friends,,9398,$8 for everyone one and older ,,7/2/11 14:30
That 1 Guy (kids show!),,6971,$10 for everyone one and older,,3/6/11 19:00
Justin Roberts and the Not Ready for Naptime Players,,8694,$15 ,,3/5/11 18:30
Justin Roberts and the Not Ready for Naptime Players,,7409,$15 ,,3/5/11 16:30
Justin Roberts and the Not Ready for Naptime Players,,8622,$15 ,,3/5/11 14:30
Alex and The Kaleidoscope Band,"<p><strong><span style=""color: #ff0000;"">The show has been cancelled. We are actively working on a re-scheduled date. Please stay tuned. Please direct all inquiries to Mei at mei@jamminjava.com only. The Jammin' Java phone number is NOT a good way to get your questions answered.</span></strong></p>
<p>&nbsp;</p>
<p><strong><span style=""color: #ff0000;""><br /></span></strong></p>",8605, $10 for everyone one and older ,,2/26/11 14:30
The Okee Dokee Brothers,,7667,$8 for everyone one and older ,,2/19/11 14:30
"Ellis Paul ""Dragonfly Races""",<p>Ellis Paul will be performing songs from his Parents Choice Award winning album-The Dragonfly Races.</p>,8396,$10 for everyone one and older,,2/5/11 14:30
"Ryan Buckle & Friends - ""Science You Can Sing To!""",,7496,$8 for everyone one and older,,1/22/11 14:30
Silly Bus,,7762,$8 for everyone one and older,,12/11/10 14:30
Billy Jonas,,7642,$10 for everyone one and older,,12/4/10 14:30
Ralph's World,,6211,$15 for everyone one and older,,11/20/10 18:30
Ralph's World,,7535,$15 for everyone one and older,,11/20/10 14:30
Billy Kelly,,6481,$8 for everyone one and older,,10/23/10 14:30
"Ryan Buckle & Friends - ""Science You Can Sing To!""",,6500,$8 for everyone one and older,,10/9/10 14:30
Uncle Rock,,6743,$8 for everyone one and older,,10/2/10 14:30
Robbie Schaefer,,6592,$10 for everyone one and older,,9/26/10 19:00
Key Wilde & Mr. Clarke,,6171,$8 for everyone one and older,,8/21/10 14:30
"""Hug Trees"" Tom Freund",,6077,$8 for everyone one and older,,8/14/10 14:30
A Morning with the Asylum Street Spankers (The Farewell Tour),"<p><strong>Unfortunately we have just received word that the Asylum Street  Spankers are retiring. This will be their last show ever at Jammin'  Java. The Spankers hope to see you out at this momentous occassion and they want all of their fans to know, ""Spanks For Everything!""</strong></p>
<p><strong><br /></strong></p>",6495,$10 for everyone one and older,,7/31/10 14:30
The Verve Pipe (family show!),,5863,$10 for everyone one and older,,7/11/10 19:00
Farmer Jason,,5571,$8 for everyone one and older,,6/26/10 14:30
The Shushybyes,,5429,$8 for everyone one and older,,6/12/10 14:30
Hullabaloo Band,,5428,$8 for everyone one and older,,6/5/10 14:30
"Ellis Paul ""Dragonfly Races""",,5427,$10 for everyone one and older,,5/22/10 14:30
Alex and the Kaleidoscope Band,,5425,$10 for everyone one and older,,5/8/10 14:30
Science You Can Sing To!,,5479,$10 for everyone one and older,,5/1/10 14:30
The Nields (family show!),,5424,$10 for everyone one and older,,4/24/10 20:00
Ralph's World,,5423,$15 for everyone one and older,,4/17/10 18:30
Ralph's World,,5422,$15 for everyone one and older,,4/17/10 14:30
Justin Roberts and the Not Ready for Naptime Players,"<p><strong><em>This show is sponsored by <a href=""http://bigapplecircus.org/java.aspx"" target=""_blank"">The Big Apple Circus</a>.</em></strong></p>
<p>&nbsp;</p>",5090,$15 for everyone one and older ,,3/6/10 18:29
Justin Roberts and the Not Ready for Naptime Players,"<p><strong><em>This show is sponsored by <a href=""http://bigapplecircus.org/java.aspx"" target=""_blank"">The Big Apple Circus</a>.</em></strong></p>
<p>&nbsp;</p>",5091,$15 for everyone one and older ,,3/6/10 16:30
