title,slug,starts_at,body,buytix_url_old,price_freeform,set_times,info
Will Hoge: Let Me Be Lonely Tour 2012,will-hoge,12/12/12 23:30,"<p><strong>ERICK BAKER</strong><br />If you listen closely, you can hear a heartbeat in the songs of Erick Baker. A warm familiar pulse of love and loss echoing from somewhere just under the surface. Written with unguarded lyrical honesty, Erick's songs are passionate confessions that reflect many of our own deeply rooted emotions and secrets. Since releasing his debut EP, It's Getting Too Late To Say It's Early, in 2008, Erick's powerful voice and deeply personal songwriting style have led listeners through music rich with themes central to the emotional cornerstones of their lives. And recently, the message of Erick's music has quickly started to spread. Astonishingly, it wasn't until after college graduation that Erick, a small town Tennessee native, first picked up a guitar. In the smoky corners of Knoxville's pub and bar scene, Erick taught himself to play and sing. His talent became quickly evident, and he soon found himself opening for John Legend. Since, Erick has been invited to perform with an impressive array artists, including James Blunt, Gavin Degraw, Edwin McCain, the Goo Goo Dolls, Grace Potter, Brandi Carlisle and Heart. There is an underlying heartbeat in the songs of Erick Baker, and it is quickly growing stronger. Listen closely....can you feel it? <br /><span style=""color: #888888;""><a href=""http://www.erickbaker.com/index.php"" target=""_blank"">Official site</a> | <a href=""http://www.twitter.com/ErickBaker"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/erickbakermusic"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Ferick-baker%252Fid280680835%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/user/ErickBakerMusic"" target=""_blank"">Youtube</a></span></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2162,$18 ,"5:30 - The new Lobby Bar opens
6:30 - Doors
7:30 - Will Hoge","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5:30
<br/>• General admission seated
<br/>• First come, first seated
"
Tyler Ward,tyler-ward,12/9/12 23:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2075,$12 adv / $15 day of,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Tyler Ward","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5pm
<br/>• General admission standing
<br/>• First come, first seated
"
Fistful of Fifties + Overdrive Superthruster,december-8-late-show,12/9/12 2:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2199,$10 advance/$13 day of,"9pm - The new Lobby Bar opens
10pm - Doors
10pm - Fistful of Fifties + Overdrive Superthruster","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9pm
<br/>• General admission standing
<br/>• First come, first seated
"
An Intimate Acoustic Evening w/ Tyrone Wells,tyrone-wells,12/6/12 0:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2175,$25 ,"6pm - The new Lobby Bar opens
7pm - Doors
8pm - Tyrone Wells","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 6pm
<br/>• General admission seated
<br/>• First come, first seated
"
Jessica Lea Mayfield & David Mayfield: The Sibling Rivalry Tour,jessica-lea-mayfield-david-mayfield,12/5/12 0:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2189,$15 ,"6pm - The new Lobby Bar opens
7pm - Doors
8pm - Jessica Lea Mayfield & David Mayfield: The Sibling Rivalry Tour","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 6pm
<br/>• General admission standing
<br/>• First come, first seated
"
The Souljazz Orchestra,the-souljazz-orchestra,12/2/12 2:00,"<p><strong>8 OHMS</strong><br />The 8 Ohms are a Horn Heavy Funk and Soul collective from Annapolis, MD. Drawing from diverse musical backgrounds, the 8 Ohms bring together an eclectic mix of feel good sounds and hard grooves to keep the dance floor moving. The 8 Ohms Band has been honing their style since 2007 playing festivals, clubs and events throughout Washington, Baltimore, Virginia, Annapolis and the Eastern Shore. The Band's Debut CD ""Superheavy"" was released July 9, 2011.<br /><span style=""color: #888888;""><a href=""http://www.8ohmsband.com/fr_home.cfm"" target=""_blank"">Official site</a> | <a href=""http://twitter.com/the8ohms"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/the8ohms"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252F8-ohms-band%252Fid449262742%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/user/8ohmsband"" target=""_blank"">Youtube</a></span></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2138,$15 ,"9pm - The new Lobby Bar opens
10pm - Doors
10pm - The Souljazz Orchestra","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9pm
<br/>• General admission standing
<br/>• First come, first seated
"
Set It Off + Sparks The Rescue,set-it-off-sparks-the-rescue,12/1/12 22:00,"<p><strong>HANDGUNS</strong><br />Whats up we are a pop punk band from Harrisburg Pa. We believe in hard work and having fun. We don't have famous friends we are not critically acclaimed and no one in this band was ever in some famous band who's name we could drop or coat tail we could ride. But we will get up earlier than you and work longer and harder. That has to count for something. If it doesn't then at least we had a hell of a good time trying and made some amazing friends along the way.<br /><a href=""http://thehandgunsfamily.tumblr.com/"" target=""_blank"">Official site</a> | <a href=""http://www.facebook.com/handgunspa"" target=""_blank"">Facebook</a></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2152,$10 advance/$13 day of,"4pm - The new Lobby Bar opens
5pm - Doors
6pm - Set It Off + Sparks The Rescue","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 6pm
<br/>• General admission standing
<br/>• First come, first seated"
Tracy Grammer,tracy-grammer,11/30/12 23:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2088,$15 ,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Tracy Grammer","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5pm
<br/>• General admission seated
<br/>• First come, first seated
"
Natalie York,natalie-york,11/25/12 23:30,,http://jamminjava.3dcartstores.com/product.asp?itemid=2134,$10 advance/ $13 day of show,"5:30 - The new Lobby Bar opens
6:30 - Doors
7:30 - Natalie York","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5:30
<br/>• General admission seated
<br/>• First come, first seated
"
Feed God Cabbage,feed-god-cabbage,11/25/12 2:00,"<p>Poor Man's Copyright has been together for many years now, conjuring  and plotting ways to capture not only you, but your soul and rhythm.  uniting through the music that vibes to your ears. They take the stage  with complex rhythms and manipulated drops all while maintaining the  genre of rock/reggae and cleverly adding ska/dub to the mix.<br /><span style=""color: #808080;""><a href=""http://www.facebook.com/poormanscopyright?sk=app_2405167945"" target=""_blank"">Facebook</a> | <a href=""http://youtu.be/6g9xQP4-r4Q"" target=""_blank"">Youtube</a></span></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2133,$10 adv / $13 day of,"9pm - The new Lobby Bar opens
10pm - Doors
10pm - Feed God Cabbage","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9pm
<br/>• General admission standing
<br/>• First come, first seated
"
@JamnJavaDoorGal's LOCAL SCENE:Heather Mae + TheyCallMePiano + Amanda Lee,jamnjavadoorgals-local-nov-24,11/24/12 20:00,"<p>&nbsp;</p>
<p><strong>THEYCALLMEPIANO</strong> is a rising artist who writes a diverse blend of songs based on her personal experiences. Her music style is difficult to label but generally falls into the Pop-Rock genre. Ranging from acoustic ballads to heavy synth beat driven dance songs, she colors her music to best portray the often hidden messages within. She has been compared to artists Kate Bush, Fiona Apple, Bruce Hornsby, Amy Winehouse, and Adele. Piano has a natural talent for writing, recording, and producing her own music, but interacting with live audiences is where she really comes alive. Her latest single ""True Story"" is now available via online vendors including iTunes.""Another young talent, a local, Northern Virginia native who goes by the name THEYCALLMEPIANO, opened the show [Nat and Alex Wolff at Jammin' Java] and quickly showed that she, too, has showmanship beyond her years. At just 14, the girl whose nickname became part of her stage name commanded a Roland X-7 keyboard with well-earned confidence, running through a set of songs that alternated between diverse covers - Korn, Radiohead, Katy Perry (again!), La Roux - and her own original tunes, all of them driven by driving dance beats, sharp riffs and strong vocals. One particular tune, ""Exit,"" was so well-received that one wondered if it was an obscure hit, but it turned out to be one of TCMP's originals, yet another sign that this 14-year-old girl has potential to spare."" - Examiner.com<br /><span style=""color: #888888;""><a href=""http://www.theycallmepiano.com/"" target=""_blank"">Official site</a> | <a href=""https://twitter.com/#!/Theycallmepiano"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/pages/Theycallmepiano/301402276569929"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Ftheycallmepiano%252Fid551806320%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/theycallmepiano"" target=""_blank"">Youtube</a></span></p>
<p><strong>AMANDA LEE</strong><br />Born in Towson, MD and raised in the tri-state area of DC, VA, MD, Amanda Lee has minimal experience beyond the east coast realm of life. Her aching and yearning for more is apparent in her music and may just be the drive that takes her to far places.Though one may hear some pop and folk sensibilities, the ""pop"" or ""folk"" category do not quite pinpoint Lee's sound. Her dynamic voice can calm you like lullaby and then surprise you when she lifts into a high soar. In her live performances, she incorporates the looper pedal to layer sweet, haunting vocal harmonies. Her lyrics are simple yet rich with meaning. Whatever genre it is, Lee's sound is soothingly addictive.With the ambition of wanting to put her music in people's hands, Lee partnered with Pledge Music in late 2010 to campaign the funding of her first EP. With much success, her fans prevailed and thus Lee was able to start recording with Kevin Gutierrez at Assembly Line Studios in Vienna, VA. Lee co-produced the album with Gutierrez and her bass player, Posido Vega. The album was released digitally in April 2011.<br /><a href=""http://www.amandaleemusic.com/"" target=""_blank"">Official site</a> | <a href=""http://twitter.com/amandaleemusic"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/TheAmandaLeeMusic"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Famanda-lee%252Fid216585281%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/amandaleemusic"" target=""_blank"">Youtube</a></p>
<p><strong>SARA DAVENPORT</strong><br />Like an Edward Hopper canvas, Sara Davenport's songs speak of loneliness and separation, but her voice delivers the promise of a brighter day. Sara draws inspiration from singer-songwriters such as Sara Bareilles and Michelle Branch, and colors it with her own life experiences. Sara has been writing and performing music for more than a decade. She has performed at the Virginia State Fair, the Carytown Watermelon Festival, and The Hamilton in Washington D.C. She performs with a wide range of instruments from guitar to keyboards to bass to percussion (she can play a mean egg shaker). She is working on her first EP, which is scheduled to be released in the spring of 2013. Sara was a vocal major at Virginia Commonwealth University and is currently an elementary music teacher in Northern Virginia. She collaborates with other local musicians, and performs with The 3MTs, a trio of music teachers from Fairfax County.<br /><span style=""color: #888888;""><a href=""http://www.saradavenportmusic.com/home.cfm"" target=""_blank"">Official site</a> | <a href=""http://www.facebook.com/saradavenportmusic"" target=""_blank"">Facebook</a> </span></p>
<p>&nbsp;</p>
<p><a></a></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2143,$10 advance/$13 day of,"3:00 - The new Lobby Bar opens
3:30 -  Doors
4:00 - @JamnJavaDoorGal's LOCAL SCENE","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 3pm
<br/>• General admission standing
<br/>• First come, first seated"
Stomp Status CD Release + Future,stomp-status,11/24/12 2:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2172,$10 advance/$13 day of,"9pm - The new Lobby Bar opens
10pm - Doors
10pm - Stomp Status + Future","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9pm
<br/>• General admission standing
<br/>• First come, first seated
"
Martha Wainwright,martha-wainwright,11/22/12 0:00,"<p><strong>AroarA</strong><br /><span style=""color: #888888;""><a href=""http://aroara.com/"" target=""_blank"">Official site</a> | <a href=""https://twitter.com/#!/aroaraaroara"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/aroaraaroara"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Faroarah%252Fid279989910%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> </span></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2197,$15 ,"6pm - The new Lobby Bar opens
7pm  - Doors
8pm - Martha Wainwright","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 6pm
<br/>• General admission seated
<br/>• First come, first seated
"
An Evening with Tom Russell,an-evening-with-tom-russell,11/18/12 23:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2034,$22 advance/ $25 day of,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Show
After The Show - Lobby Bar stays open!
","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5pm
<br/>• General admission seated
<br/>• First come, first seated
"
BLUEfiveone,blue-five-one,11/18/12 2:00,"<p>&nbsp;</p>
<p><strong>GROOVE 8</strong><br />Groove 8 is a US based jazz funk collective. G8 calls its music free fusion funk. Since 2006 the band has performed over 1000 shows, touring nationally. Groove 8 released its fourth studio album entitled Curious Poses on June 29, 2012.<br /><span style=""color: #888888;""><a href=""http://groove8.com/"" target=""_blank"">Official site</a> | <a href=""https://twitter.com/groove8"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/Groove8"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Fgroove-8%252Fid308050312%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/user/Groove8music/videos?flow=grid&amp;view=0"" target=""_blank"">Youtube</a></span></p>
<p><strong>LAST SECOND LEFT (formerly known as TheBrunoSound)</strong><br />With  songs ranging in genre from anthem-esque ballads to danceable  rock-reggae to straight up rock and roll, it's no wonder Bruno de  Lima-Campos finds it hard to pinpoint his music to one particular  category. Having begun at age 11 with classical and flamenco lessons and  gradually applying his teachings to the electric and steel string  acoustic guitar, Bruno's unique stylings truly have a sound all their  own. After stints as a lead guitarist and songwriter for many acclaimed  bands (most notably Crowded Streets, a Dave Matthews Band Tribute),  Bruno decided it was time to give his fans a bigger taste of his  personal musical journey, and thus, Last Second Left was born. Last  Second Left's repertoire has been influenced by such notable musicians  as Carlos Santana, Baden Powell, Tim Mahoney and Mike Einziger, but it  also goes beyond that to truly display Bruno's growth as both a  songwriter and guitarist. With guest vocalist Lindsay Hough of The  Fishermen and a plethora of other talented backing musicians  accompanying Bruno, the final sound demonstrated throughout his  self-titled debut album is one of richness and depth. Last Second Left's  live shows will also be sure to please, as Bruno is determined to take  his fans along with him on his musical voyage, sharing with audiences  the energy and passion with which he lives his life - both on stage and  off.<br /><a href=""http://lastsecondleft.com/"" target=""_blank"">Official site</a></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2183,$10 advance/$13 day of,"9pm - The new Lobby Bar Opens
10pm - BLUEfiveone
After The Show - Lobby Bar stays open!","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9pm
<br/>• General admission standing
<br/>• First come, first seated"
Lucy Wainwright Roche + Lindsay Fuller,lucy-wainwright-roche-lindsay-fuller,11/17/12 23:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2126,$12 ,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Lucy Wainwright Roche + Lindsay Fuller ","• Full dinner and drink menu available 
<br/>• All ages 
<br/>• The Lobby Bar opens at 5pm 
<br/>• General admission seated
<br/>• First come, first seated
"
In The Lobby Bar: Irresponsible + Guests,in-the-lobby-bar-w-irresponsible,11/17/12 2:00,"<p>&nbsp;</p>
<p><br /><span style=""color: #888888;""><a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Firresponsible%252Fid315759412%253Fuo%253D4%2526partnerId%253D30"" target=""_blank""></a></span></p>",,FREE!,"9:30 - The new Lobby Bar opens
10:30 - In The Lobby Bar: Irresponsible + Guests","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9:30pm
<br/>• First come, first seated "
An Evening with Ellis Paul,ellis-paul,11/16/12 23:30,,http://jamminjava.3dcartstores.com/product.asp?itemid=1917,$20 ," 5:30 - The new Lobby Bar opens
6:30 - Doors
7:30 - Ellis Paul","• Full dinner and drink menu available 
<br/>• All ages 
<br/>• The Lobby Bar opens at 6:30pm 
<br/>• General admission seating
<br/>• First come, first seated"
Matt Wertz (at The Hamilton),matt-wertz-at-the-hamilton,11/15/12 23:30,,http://www.eventfarm.com/tokens/event/4fe27901-0850-4eba-b99b-3fa10ab551d8,$25 ,,"This show will take place at
The Hamilton in Washington, DC "
TRUTH & SALVAGE CO + TIM BRANTLEY: The Music 4 Vets Tour,truth-salvage-co-tim-brantley-the-music-4-vets-tour,11/15/12 23:30,"<p><strong>TIM BRANTLEY</strong><br /><span style=""color: #888888;""><a href=""http://www.timbrantley.com/"" target=""_blank"">Official site</a> | <a href=""https://en.twitter.com/TimBrantley"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/TimBrantleyMusicPage?ref=ts"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Ftim-brantley%252Fid34623010%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/watch?v=jPUOtT10QjQ"" target=""_blank"">Youtube</a></span></p>
<p><strong>JESSE THOMAS</strong><br />Jesse wrapped up her debut ""Hazel EP"" in the spring of 2010 for release in September. The EP debuted in the Top Ten on iTunes' singer/songwriter chart and was featured there as both a ""New and Noteworthy"" and ""Indie Spotlight"" release. Come February 2011, her song ""You I Want"" was featured at Starbucks retail stores in the US and Canada as their ""Pick of the Week."" ""Stay,"" also off the EP, became a YouTube sensation after being used in Teen Nick's ""Degrassi."" Jesse performed at the Hotel Cafe Showcase during SXSW 2011 and 2012 and has opened for the likes of John Mayer, Cary Brothers, Crash Kings, Owl City, Lights, and Angel Taylor. Through her live performances and home videos, Jesse's unique brand of gritty charm has gained her many fans and made her debut record highly anticipated.War Dancer arrived on February 14, 2012. The LP is named after a shop on the corner of ""Jesse Street"" &amp; Victory Boulevard."" It debuted #3 on the iTunes' singer/songwriter chart, and charted top 25 on Billboards, ""Heatseekers"", ""New Artist"", and ""Folk"" charts. Her song fire was featured as iTunes indie download of the week generating over 130,000downloads.<br /><a href=""http://www.iamjessethomas.com/"" target=""_blank"">Official site</a> | <a href=""http://www.twitter.com/iamjessethomas"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/iamjessethomas?ref=ts"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Fjesse-thomas%252Fid4780692%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/jestert6"" target=""_blank"">Youtube</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2171,$12 ,"5:30 - The new Lobby Bar opens
6:30 - Doors
7:30 - TRUTH & SALVAGE CO 
+ TIM BRANTLEY: The Music 4 Vets Tour ","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5:30
<br/>• General admission standing
<br/>• First come, first seated"
Derek Webb,derek-webb,11/14/12 23:30,"<p><strong>PAGE CXVI</strong><br />Page CXVI is a project started with the idea of making hymns accessible and known again. They are some of the richest, most meaningful, and moving pieces of music every written.<br /><a href=""http://pagecxvi.com/"" target=""_blank"">Official site</a> | <a href=""http://twitter.com/pagecxvi"" target=""_blank"">Twitter</a> | <a href=""http://facebook.com/pagecxvi"" target=""_blank"">Facebook</a></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2148,$20 ,"5:30 - The new Lobby Bar opens
6:30 - Doors
7:30 - Derek Webb","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5:30
<br/>• General admission seated
<br/>• First come, first seated
"
